Area,Perimeter,Radius,Label
1001.0,122.8,17.99,Stage 2
1326.0,132.9,20.57,Stage 2
1203.0,130.0,19.69,Stage 1
386.1,77.58,11.42,Stage 2
1297.0,135.1,20.29,Stage 2
477.1,82.57,12.45,Stage 2
1040.0,119.6,18.25,Stage 2
577.9,90.2,13.71,Stage 2
519.8,87.5,13.0,Stage 2
475.9,83.97,12.46,Stage 2
797.8,102.7,16.02,Stage 2
781.0,103.6,15.78,Stage 2
1123.0,132.4,19.17,Stage 1
782.7,103.7,15.85,Stage 2
578.3,93.6,13.73,Stage 2
658.8,96.73,14.54,Stage 2
684.5,94.74,14.68,Stage 2
798.8,108.1,16.13,Stage 2
1260.0,130.0,19.81,Stage 1
566.3,87.46,13.54,Stage 2
520.0,85.63,13.08,Stage 2
273.9,60.34,9.504,Stage 3
704.4,102.5,15.34,Stage 2
1404.0,137.2,21.16,Stage 2
904.6,110.0,16.65,Stage 2
912.7,116.0,17.14,Stage 2
644.8,97.41,14.58,Stage 2
1094.0,122.1,18.61,Stage 2
732.4,102.4,15.3,Stage 2
955.1,115.0,17.57,Stage 2
1088.0,124.8,18.63,Stage 2
440.6,77.93,11.84,Stage 2
899.3,112.8,17.02,Stage 2
1162.0,127.9,19.27,Stage 2
807.2,107.0,16.13,Stage 2
869.5,110.1,16.74,Stage 2
633.0,93.63,14.25,Stage 2
523.8,82.61,13.03,Stage 2
698.8,95.54,14.99,Stage 2
559.2,88.4,13.48,Stage 2
563.0,86.18,13.44,Stage 2
371.1,71.9,10.95,Stage 2
1104.0,128.3,19.07,Stage 1
545.2,87.32,13.28,Stage 2
531.5,85.42,13.17,Stage 2
1076.0,123.7,18.65,Stage 2
201.9,51.71,8.196,Stage 3
534.6,85.98,13.17,Stage 2
449.3,78.04,12.05,Stage 2
561.0,86.91,13.49,Stage 2
427.9,74.72,11.76,Stage 2
571.8,87.21,13.64,Stage 2
437.6,75.71,11.94,Stage 2
1033.0,120.3,18.22,Stage 2
712.8,97.26,15.1,Stage 2
409.0,73.34,11.52,Stage 2
1152.0,125.5,19.21,Stage 2
656.9,95.55,14.71,Stage 2
527.2,82.61,13.05,Stage 2
224.5,54.34,8.618,Stage 3
311.9,64.55,10.17,Stage 3
221.8,54.66,8.598,Stage 3
645.7,96.42,14.25,Stage 2
260.9,59.2,9.173,Stage 3
499.0,82.69,12.68,Stage 2
668.3,97.4,14.78,Stage 2
269.4,60.11,9.465,Stage 3
394.1,71.8,11.31,Stage 2
250.5,58.79,9.029,Stage 3
502.5,81.37,12.78,Stage 2
1130.0,123.6,18.94,Stage 2
244.0,58.79,8.888,Stage 3
929.4,114.2,17.2,Stage 2
584.1,90.43,13.8,Stage 2
470.9,79.19,12.31,Stage 2
817.7,104.1,16.07,Stage 2
559.2,87.91,13.53,Stage 2
1006.0,120.2,18.05,Stage 2
1245.0,143.7,20.18,Stage 1
506.3,83.19,12.86,Stage 2
401.5,73.81,11.45,Stage 2
520.0,86.49,13.34,Stage 2
1878.0,171.5,25.22,Stage 2
1132.0,129.1,19.1,Stage 1
443.3,76.95,12.0,Stage 2
1075.0,121.1,18.46,Stage 2
648.2,94.25,14.48,Stage 2
1076.0,122.0,19.02,Stage 2
466.1,79.78,12.36,Stage 2
651.9,95.77,14.64,Stage 2
662.7,94.57,14.62,Stage 2
728.2,100.2,15.37,Stage 2
551.7,84.74,13.27,Stage 2
555.1,86.6,13.45,Stage 2
705.6,100.3,15.06,Stage 2
1264.0,132.4,20.26,Stage 2
451.1,77.79,12.18,Stage 2
294.5,62.11,9.787,Stage 3
412.6,74.34,11.6,Stage 2
642.5,94.48,14.42,Stage 2
582.7,88.05,13.61,Stage 2
143.5,43.79,6.981,Stage 1
458.7,77.22,12.18,Stage 2
298.3,63.95,9.876,Stage 3
336.1,67.41,10.49,Stage 3
530.2,87.21,13.11,Stage 2
412.5,75.17,11.64,Stage 2
466.7,79.01,12.36,Stage 2
1509.0,152.8,22.27,Stage 2
396.5,72.48,11.34,Stage 2
290.2,62.5,9.777,Stage 1
480.4,82.15,12.63,Stage 2
629.9,97.83,14.26,Stage 2
334.2,68.64,10.51,Stage 3
230.9,55.84,8.726,Stage 3
438.6,76.53,11.93,Stage 2
245.2,58.74,8.95,Stage 3
682.5,98.64,14.87,Stage 2
782.6,105.7,15.78,Stage 2
982.0,114.2,17.95,Stage 2
403.3,73.34,11.41,Stage 2
1077.0,121.4,18.66,Stage 2
1761.0,166.2,24.25,Stage 2
640.7,94.28,14.5,Stage 2
553.5,86.1,13.37,Stage 2
588.7,88.44,13.85,Stage 2
572.6,87.76,13.61,Stage 2
1138.0,123.4,19.0,Stage 2
674.5,99.58,15.1,Stage 2
1192.0,130.4,19.79,Stage 1
455.8,79.08,12.19,Stage 2
748.9,101.7,15.46,Stage 2
809.8,106.2,16.16,Stage 2
761.7,102.0,15.71,Stage 2
1075.0,120.2,18.45,Stage 2
506.3,81.72,12.77,Stage 2
423.6,74.72,11.71,Stage 2
399.8,73.06,11.43,Stage 2
678.1,96.85,14.95,Stage 2
384.8,73.0,11.28,Stage 2
288.5,61.24,9.738,Stage 1
813.0,105.1,16.11,Stage 2
398.0,73.66,11.43,Stage 2
512.2,83.74,12.9,Stage 2
355.3,68.26,10.75,Stage 1
432.8,78.11,11.9,Stage 2
432.0,78.99,11.8,Stage 2
689.5,97.84,14.95,Stage 2
640.1,93.97,14.44,Stage 2
585.0,88.12,13.74,Stage 2
519.4,83.51,13.0,Stage 2
203.9,53.27,8.219,Stage 3
300.2,63.78,9.731,Stage 3
381.9,70.87,11.15,Stage 2
538.9,85.31,13.15,Stage 2
460.3,78.27,12.25,Stage 2
963.7,117.4,17.68,Stage 2
880.2,108.4,16.84,Stage 2
448.6,76.84,12.06,Stage 2
366.8,68.69,10.9,Stage 2
419.8,76.1,11.75,Stage 2
1157.0,126.3,19.19,Stage 2
1214.0,130.7,19.59,Stage 1
464.5,79.85,12.34,Stage 2
1686.0,152.1,23.27,Stage 2
690.2,95.5,14.97,Stage 2
357.6,68.77,10.8,Stage 1
886.3,109.3,16.78,Stage 2
984.6,116.1,17.47,Stage 2
685.9,96.22,14.97,Stage 2
464.1,78.85,12.32,Stage 2
565.4,85.84,13.43,Stage 2
736.9,102.5,15.46,Stage 2
372.7,70.21,11.08,Stage 2
349.6,67.49,10.66,Stage 1
227.2,54.42,8.671,Stage 3
302.4,64.6,9.904,Stage 2
832.9,109.3,16.46,Stage 2
526.4,82.01,13.01,Stage 2
508.8,81.29,12.81,Stage 2
2250.0,182.1,27.22,Stage 2
1311.0,142.7,21.09,Stage 2
766.6,101.2,15.7,Stage 2
402.0,73.53,11.41,Stage 2
710.6,98.92,15.28,Stage 2
317.5,63.76,10.08,Stage 3
1041.0,118.6,18.31,Stage 2
420.3,74.68,11.71,Stage 2
428.9,75.27,11.81,Stage 2
463.7,78.83,12.3,Stage 2
609.9,94.37,14.22,Stage 2
507.4,82.02,12.77,Stage 2
288.1,60.73,9.72,Stage 1
477.4,81.15,12.34,Stage 2
671.4,100.4,14.86,Stage 2
516.4,82.53,12.91,Stage 2
588.9,90.63,13.77,Stage 2
1024.0,117.4,18.08,Stage 2
1148.0,127.5,19.18,Stage 2
642.7,94.49,14.45,Stage 2
461.0,78.54,12.23,Stage 2
951.6,115.1,17.54,Stage 2
1685.0,158.9,23.29,Stage 2
597.8,91.56,13.81,Stage 2
481.9,81.09,12.47,Stage 2
716.6,98.78,15.12,Stage 2
295.4,62.92,9.876,Stage 3
904.3,109.7,17.01,Stage 2
529.4,87.02,13.11,Stage 2
725.5,98.17,15.27,Stage 2
1290.0,134.7,20.58,Stage 2
428.0,75.51,11.84,Stage 2
2499.0,188.5,28.11,Stage 2
948.0,114.5,17.42,Stage 2
610.7,92.87,14.19,Stage 2
578.9,90.96,13.86,Stage 2
432.2,77.32,11.89,Stage 2
321.2,65.05,10.2,Stage 3
1230.0,129.7,19.8,Stage 1
1223.0,128.0,19.53,Stage 2
568.9,87.88,13.65,Stage 2
561.3,88.59,13.56,Stage 2
313.1,65.12,10.18,Stage 3
761.3,102.6,15.75,Stage 2
546.4,84.55,13.27,Stage 2
641.2,92.51,14.34,Stage 2
329.6,66.62,10.44,Stage 3
684.5,97.45,15.0,Stage 2
496.4,81.35,12.62,Stage 2
503.2,85.26,12.83,Stage 2
895.0,113.4,17.05,Stage 2
395.7,71.76,11.32,Stage 2
386.8,70.79,11.22,Stage 2
1319.0,134.4,20.51,Stage 2
279.6,60.21,9.567,Stage 3
603.4,89.79,14.03,Stage 2
1670.0,153.5,23.21,Stage 2
1306.0,132.5,20.48,Stage 2
623.9,92.55,14.22,Stage 2
920.6,113.4,17.46,Stage 2
575.3,87.38,13.64,Stage 2
476.5,78.61,12.42,Stage 2
389.4,73.93,11.3,Stage 2
590.0,88.54,13.75,Stage 2
1155.0,129.1,19.4,Stage 1
337.7,66.72,10.48,Stage 1
541.6,84.13,13.2,Stage 2
512.2,84.95,12.89,Stage 2
